Model,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC
Logistic Regression,0.6497899438495939,0.6418917945738853,0.709647455971805,0.674071254452458,0.7060569612895597,0.6861354597518703
XGBoost,0.6611581664576488,0.6468203534486757,0.7401619940340336,0.6903503039664152,0.7225899759888385,0.7066740499607003
